"L_Caparazon","Peso_g","Sexo","Recapturado"
166.45150136576,483.474441076656,"M",0
143.223621943247,508.335375418952,"M",0
154.357540936048,526.182067731448,"M",0
157.594351259532,562.988157228171,"F",0
154.851219877692,467.271857323649,"F",1
148.726505806902,558.614418441986,"F",1
168.138263969267,515.113165388843,"F",0
148.864091539043,546.732774441393,"M",0
174.221084566524,541.432785573079,"M",0
149.247430811371,532.439517329009,"M",0
165.658435850682,453.059647764447,"M",0
177.439744712413,495.941612602518,"F",1
133.333671586652,528.058317289979,"M",0
146.654534798192,457.091448900245,"M",0
148.400143963276,475.572703344176,"F",0
157.631404776841,526.144842395676,"F",1
146.588964943007,534.568043202557,"M",0
118.122534949143,520.869541484308,"M",0
120.714396857094,460.140066616564,"M",1
165.841360148762,450.509859560847,"F",1
146.320336871058,568.071815441222,"M",0
128.62429879224,511.606464688941,"M",0
147.936991730885,503.979810312181,"M",0
164.576096390071,494.559655810741,"F",0
172.74232153518,446.255199717776,"F",0
144.834370420726,527.539860411817,"M",1
146.912767406773,490.228706941407,"F",0
128.842042977663,491.775948215064,"M",1
155.521168257975,542.000584785702,"F",1
142.320061488479,536.979789972871,"M",1
155.465401478895,562.645236917042,"M",1
158.458048046746,478.57217346254,"M",0
162.421242263639,529.265685232684,"F",0
142.692883495113,562.59997053755,"M",0
156.059461479576,450.014500424845,"F",0
129.39589585112,461.264333590497,"M",0
140.586491899446,449.07175936158,"F",0
139.789108869882,434.335370022392,"M",0
121.02950820064,503.599214895852,"M",1
150.433471282707,529.394195284214,"M",0
152.471983202403,554.043441901932,"F",0
145.667312417416,547.013798922548,"F",0
159.097958828394,454.855610892207,"M",1
141.279542075081,583.181685575274,"F",0
133.580627466968,469.995196605898,"F",0
155.193816310665,504.748121560523,"M",0
140.26328188576,480.998485315901,"M",1
167.329215140655,494.494242262026,"M",0
144.82264556864,508.468686552567,"M",1
157.867774600826,505.362243109865,"M",1
153.863103182447,498.870835210967,"M",0
140.593932709436,504.863272757391,"F",0
168.908730237504,478.1554143869,"M",0
157.714791668608,477.310229119044,"M",0
151.077127759195,425.250541403833,"F",1
153.318608967498,482.794982290678,"F",0
158.151465792663,476.930738395499,"M",0
151.077994638949,621.585095015516,"M",1
114.082919002165,438.704769596463,"M",0
153.418595442368,506.176529835137,"F",0
