"","Sample ID","pH","Temperature (°C)","Turbidity (NTU)","Dissolved Oxygen (mg/L)","Conductivity (µS/cm)","Tipo_de_Zona","Uso_del_Suelo","Temporada","Estado_Ecológico","Riesgo_Eutrofización","Presión_Antrópica"
"1",1,7.25,23.1,4.5,7.8,342,"Pla agrícola","Agrícola","Otoño","Bueno","Medio","Alta"
"2",2,7.11,22.3,5.1,6.2,335,"Zona urbana","Urbano","Otoño","Moderado","Alto","Alta"
"3",3,7.03,19.0333466413431,3.9,8.3,356,"Serra de Tramuntana","Natural","Invierno","Muy bueno","Alto","Baja"
"4",4,7.38,24.9288685197011,3.2,9.5,327,"Zona húmeda","Mixto","Verano","Muy bueno","Bajo","Media"
"5",5,7.45,20.7,3.8,8.1,352,"Costa","Mixto","Primavera","Muy bueno","Alto","Media"
"6",6,6.89,23.6,4.6,7.2,320,"Pla agrícola","Agrícola","Primavera","Bueno","Medio","Alta"
"7",7,7.19,21.2,4.2,8.8,350,"Costa","Mixto","Primavera","Bueno","Medio","Media"
"8",8,6.98,19.5284495837055,3.7,6.9,325,"Pla agrícola","Agrícola","Invierno","Moderado","Medio","Alta"
"9",9,7.31,17.5965915984474,4.1,8.4,360,"Serra de Tramuntana","Natural","Invierno","Bueno","Alto","Baja"
"10",10,7.02,22.7,4.8,7.5,330,"Pla agrícola","Agrícola","Primavera","Bueno","Medio","Alta"
"11",11,7.24,21.0837819032371,4.3,8.6,347,"Pla agrícola","Agrícola","Invierno","Bueno","Medio","Alta"
"12",12,7.17,21.6,3.6,7.1,328,"Pla agrícola","Agrícola","Otoño","Bueno","Bajo","Alta"
"13",13,6.95,22.3,4.1,6.4,341,"Serra de Tramuntana","Natural","Otoño","Moderado","Medio","Baja"
"14",14,7.06,25.7171993944794,3.7,9.2,355,"Zona urbana","Urbano","Verano","Muy bueno","Alto","Alta"
"15",15,7.48,18.3538867558353,3.4,7.9,329,"Serra de Tramuntana","Natural","Invierno","Bueno","Bajo","Baja"
"16",16,6.92,19.1457491355017,4.9,6.8,362,"Costa","Mixto","Invierno","Moderado","Alto","Media"
"17",17,7.11,24.5067811692134,4.4,8.1,336,"Zona urbana","Urbano","Verano","Bueno","Medio","Alta"
"18",18,7.3,20.9313860529102,3.5,9.6,351,"Zona urbana","Urbano","Invierno","Muy bueno","Alto","Alta"
"19",19,7.13,19.0410062409006,4,7.5,319,"Pla agrícola","Agrícola","Invierno","Bueno","Bajo","Alta"
"20",20,7.01,24.007070989348,4.7,8.9,330,"Pla agrícola","Agrícola","Verano","Bueno","Medio","Alta"
"21",21,6.83,22.5,3.3,6.1,348,"Pla agrícola","Agrícola","Primavera","Moderado","Medio","Alta"
"22",22,7.34,22.1761190087534,4.2,8,365,"Costa","Mixto","Verano","Bueno","Alto","Media"
"23",23,7.16,23.4,4.5,7.7,326,"Zona urbana","Urbano","Primavera","Bueno","Medio","Alta"
"24",24,7.25,21.2423016721383,3.9,9.1,355,"Pla agrícola","Agrícola","Invierno","Muy bueno","Alto","Alta"
"25",25,7.39,21.9,4.1,7.4,317,"Costa","Mixto","Primavera","Bueno","Medio","Media"
"26",26,7.02,23.7014729010873,4.6,6.6,339,"Pla agrícola","Agrícola","Verano","Moderado","Medio","Alta"
"27",27,7.27,24.1609532061964,3.7,8.7,354,"Zona urbana","Urbano","Verano","Muy bueno","Alto","Alta"
"28",28,7.09,22.1448901004158,5,7,324,"Pla agrícola","Agrícola","Invierno","Moderado","Medio","Alta"
"29",29,7.15,20.6,4.4,8.5,358,"Pla agrícola","Agrícola","Primavera","Bueno","Alto","Alta"
"30",30,7.07,25.2583624871448,3.8,6.9,332,"Zona urbana","Urbano","Verano","Moderado","Medio","Alta"
"31",31,7.22,22.5,4.3,8.9,345,"Serra de Tramuntana","Natural","Otoño","Bueno","Medio","Baja"
"32",32,6.92,21.7,4.7,6.3,363,"Zona urbana","Urbano","Primavera","Moderado","Alto","Alta"
"33",33,7.13,23.1,3.6,8.2,347,"Pla agrícola","Agrícola","Otoño","Muy bueno","Bajo","Alta"
"34",34,7.31,18.8991037268192,4,7.6,316,"Serra de Tramuntana","Natural","Invierno","Bueno","Bajo","Baja"
"35",35,7.03,19.7518556782976,4.9,7.9,331,"Zona urbana","Urbano","Invierno","Bueno","Medio","Alta"
"36",36,7.21,24.2730120538734,3.8,8.5,346,"Zona urbana","Urbano","Verano","Muy bueno","Bajo","Alta"
"37",37,7.13,20.5060932850465,4.2,7.7,321,"Serra de Tramuntana","Natural","Invierno","Bueno","Medio","Baja"
"38",38,7.09,26.0024247210473,4.4,7.2,335,"Zona urbana","Urbano","Verano","Bueno","Medio","Alta"
"39",39,7.35,21.6,3.9,9.2,357,"Pla agrícola","Agrícola","Otoño","Muy bueno","Alto","Alta"
"40",40,7.02,19.1968953413889,3.2,8.8,318,"Pla agrícola","Agrícola","Invierno","Muy bueno","Bajo","Alta"
"41",41,7.28,25.3696602913551,3.7,9.5,353,"Costa","Mixto","Verano","Muy bueno","Alto","Media"
"42",42,7.14,20.9,4.3,8.1,330,"Costa","Mixto","Primavera","Bueno","Medio","Media"
"43",43,6.96,20.4404825443402,4.8,6.5,344,"Pla agrícola","Agrícola","Invierno","Moderado","Medio","Alta"
"44",44,7.24,22.7,4.1,8,327,"Zona urbana","Urbano","Primavera","Bueno","Medio","Alta"
"45",45,7.37,21.5,4.5,9.3,361,"Serra de Tramuntana","Natural","Primavera","Bueno","Alto","Baja"
"46",46,7.08,26.1133951658383,3.6,7.8,338,"Serra de Tramuntana","Natural","Verano","Bueno","Bajo","Baja"
"47",47,7.16,23.7310256579891,4.4,7.3,352,"Pla agrícola","Agrícola","Verano","Bueno","Alto","Alta"
"48",48,7.03,19.4860433103517,4,8.3,319,"Serra de Tramuntana","Natural","Invierno","Bueno","Bajo","Baja"
"49",49,7.32,23.2,4.5,8.9,346,"Zona húmeda","Mixto","Primavera","Bueno","Medio","Media"
"50",50,7.19,20.8,3.9,9.1,331,"Zona húmeda","Mixto","Otoño","Muy bueno","Bajo","Media"
"51",51,7.12,22.1,4.6,6.8,340,"Costa","Mixto","Otoño","Moderado","Medio","Media"
"52",52,7.26,23.3932404716499,3.3,9.4,356,"Costa","Mixto","Verano","Muy bueno","Alto","Media"
"53",53,7.04,19.5610078423284,3.8,8.4,322,"Zona húmeda","Mixto","Invierno","Muy bueno","Bajo","Media"
