"id","isla","longitud_hocico_mm","presencia_parasitos"
1,"Cabrera",62.7580974137911,"Sí"
2,"Cabrera",64.0792900420669,"No"
3,"Cabrera",71.2348332565965,"Sí"
4,"Cabrera",65.2820335656983,"No"
5,"Cabrera",65.5171509406438,"No"
6,"Cabrera",71.8602599475331,"No"
7,"Cabrera",66.8436648239568,"Sí"
8,"Cabrera",59.9397550615739,"No"
9,"Cabrera",62.2525885924259,"No"
10,"Cabrera",63.2173521196002,"No"
11,"Cabrera",69.8963271897578,"No"
12,"Cabrera",66.4392553082294,"Sí"
13,"Cabrera",66.6030858023762,"No"
14,"Cabrera",65.4427308637805,"No"
15,"Cabrera",62.7766354609837,"No"
16,"Cabrera",72.1476525472123,"No"
17,"Cabrera",66.991401912917,"Sí"
18,"Cabrera",57.1335313734814,"No"
19,"Cabrera",67.8054236062547,"No"
20,"Cabrera",63.1088343690883,"No"
21,"Cabrera",60.7287051760526,"No"
22,"Cabrera",64.1281003413668,"No"
23,"Cabrera",60.895982206771,"No"
24,"Cabrera",62.0844350828354,"No"
25,"Cabrera",62.499842928603,"Sí"
26,"Cabrera",58.2532267570303,"No"
27,"Cabrera",68.3511481779781,"No"
28,"Cabrera",65.6134924713461,"No"
29,"Cabrera",60.4474522519522,"No"
30,"Cabrera",70.0152596842797,"Sí"
31,"Cabrera",66.7058568859073,"Sí"
32,"Cabrera",63.8197140680309,"No"
33,"Cabrera",68.5805026441801,"No"
34,"Cabrera",68.5125339501322,"Sí"
35,"Cabrera",68.2863243265499,"No"
36,"Cabrera",67.7545610164004,"No"
37,"Cabrera",67.2156706141504,"No"
38,"Cabrera",64.7523531576931,"No"
39,"Cabrera",63.7761493450403,"No"
40,"Cabrera",63.4781159959505,"No"
41,"Cabrera",62.2211720843179,"No"
42,"Cabrera",64.1683308879216,"No"
43,"Cabrera",59.9384145937269,"Sí"
44,"Cabrera",73.675823861354,"No"
45,"Cabrera",69.83184799322,"Sí"
46,"Cabrera",60.5075656671866,"Sí"
47,"Cabrera",63.3884606588037,"Sí"
48,"Cabrera",63.1333785855071,"No"
49,"Cabrera",68.1198604733453,"No"
50,"Cabrera",64.6665237341127,"No"
51,"Cabrera",66.013274055979,"No"
52,"Cabrera",64.8858129786052,"No"
53,"Cabrera",64.8285181708347,"No"
54,"Cabrera",70.4744091360578,"No"
55,"Cabrera",64.0969160573629,"No"
56,"Cabrera",71.0658824177182,"Sí"
57,"Cabrera",58.8049887830791,"Sí"
58,"Cabrera",67.3384549985443,"Sí"
59,"Cabrera",65.4954169753785,"No"
60,"Cabrera",65.8637662749759,"No"
61,"Cabrera",66.5185579310395,"Sí"
62,"Cabrera",62.9907061875628,"No"
63,"Cabrera",63.6671704653223,"No"
64,"Cabrera",60.9256984675716,"No"
65,"Cabrera",60.7128350940977,"No"
66,"Cabrera",66.214114565617,"No"
67,"Cabrera",66.7928391145177,"No"
68,"Cabrera",65.212016906922,"No"
69,"Cabrera",68.689069871519,"No"
70,"Cabrera",73.2003387425086,"Sí"
71,"Cabrera",63.0358753357739,"No"
72,"Cabrera",55.7633244974367,"Sí"
73,"Cabrera",69.022954097849,"No"
74,"Cabrera",62.1631969496704,"Sí"
75,"Cabrera",62.2479655341306,"No"
76,"Cabrera",69.1022854787868,"No"
77,"Cabrera",63.860907971796,"No"
78,"Cabrera",60.1171291509819,"No"
79,"Cabrera",65.7252139189966,"No"
80,"Cabrera",64.4444345502438,"Sí"
81,"Cabrera",65.0230567435996,"No"
82,"Cabrera",66.5411216045053,"Sí"
83,"Cabrera",63.5173598728304,"No"
84,"Cabrera",67.5775061940753,"No"
85,"Cabrera",64.118053752725,"Sí"
86,"Cabrera",66.3271278556628,"No"
87,"Cabrera",69.3873560525974,"No"
88,"Cabrera",66.7407259633352,"No"
89,"Cabrera",63.6962736578751,"No"
90,"Cabrera",69.5952304738044,"Sí"
91,"Cabrera",68.9740154238485,"Sí"
92,"Cabrera",67.1935878380323,"No"
93,"Cabrera",65.9549269404458,"No"
94,"Cabrera",62.4883756958425,"Sí"
95,"Cabrera",70.44260979412,"No"
96,"Cabrera",62.5989616514115,"Sí"
97,"Cabrera",73.7493319720663,"No"
98,"Cabrera",71.1304425047408,"No"
99,"Cabrera",64.0571985635981,"No"
100,"Cabrera",60.8943163987729,"Sí"
101,"Dragonera",57.7375606178042,"No"
102,"Dragonera",63.5413022549392,"No"
103,"Dragonera",60.5198487292258,"No"
104,"Dragonera",59.9147444036136,"No"
105,"Dragonera",56.2902885964099,"No"
106,"Dragonera",61.7298336511465,"No"
107,"Dragonera",57.2905731832575,"No"
108,"Dragonera",51.9923483804712,"No"
109,"Dragonera",59.7186408782734,"Sí"
110,"Dragonera",67.5139796543646,"No"
111,"Dragonera",58.5479182243497,"No"
112,"Dragonera",65.6477859333502,"No"
113,"Dragonera",52.292703750265,"Sí"
114,"Dragonera",61.6666282068528,"No"
115,"Dragonera",65.1164432236608,"Sí"
116,"Dragonera",63.8069201730003,"No"
117,"Dragonera",62.6340571648937,"No"
118,"Dragonera",58.1557639501677,"Sí"
119,"Dragonera",56.9017739237985,"No"
120,"Dragonera",55.8552272563705,"Sí"
121,"Dragonera",62.7058795826008,"No"
122,"Dragonera",56.3151523148912,"No"
123,"Dragonera",59.056655337796,"No"
124,"Dragonera",60.4634468468105,"No"
125,"Dragonera",73.0631720313933,"No"
126,"Dragonera",58.0883005898272,"No"
127,"Dragonera",63.4123194337091,"Sí"
128,"Dragonera",62.4677650973823,"No"
129,"Dragonera",56.2288601952192,"Sí"
130,"Dragonera",61.5721514832584,"No"
131,"Dragonera",70.6673051505401,"Sí"
132,"Dragonera",64.7090243184753,"No"
133,"Dragonera",62.2473975319576,"No"
134,"Dragonera",59.4650190059622,"Sí"
135,"Dragonera",49.6805166707569,"No"
136,"Dragonera",68.788023280485,"Sí"
137,"Dragonera",53.2361595744511,"No"
138,"Dragonera",66.439685065264,"Sí"
139,"Dragonera",73.4546214153049,"No"
140,"Dragonera",53.3366410341692,"No"
141,"Dragonera",66.2107060122483,"Sí"
142,"Dragonera",60.4268150635852,"No"
143,"Dragonera",52.5671350451271,"Sí"
144,"Dragonera",52.9119940773095,"No"
145,"Dragonera",52.3907829585524,"Sí"
146,"Dragonera",58.8145608669782,"Sí"
147,"Dragonera",53.2294664900246,"No"
148,"Dragonera",66.127500637855,"Sí"
149,"Dragonera",74.600653643154,"Sí"
150,"Dragonera",54.2778171437889,"No"
151,"Dragonera",66.7264330848511,"No"
152,"Dragonera",66.6142534460055,"No"
153,"Dragonera",63.9932154737007,"No"
154,"Dragonera",55.949740350338,"Sí"
155,"Dragonera",61.2832843602161,"No"
156,"Dragonera",60.3176279889785,"No"
157,"Dragonera",65.3779371993229,"No"
158,"Dragonera",59.765367463377,"No"
159,"Dragonera",67.8618403201137,"No"
160,"Dragonera",59.7525148533979,"No"
161,"Dragonera",68.316268793476,"No"
162,"Dragonera",55.7049379600036,"Sí"
163,"Dragonera",54.4390685314513,"Sí"
164,"Dragonera",81.4462396096544,"No"
165,"Dragonera",59.4988544710374,"No"
166,"Dragonera",63.7893655492443,"No"
167,"Dragonera",65.8194180442031,"No"
168,"Dragonera",59.0973162457475,"Sí"
169,"Dragonera",65.1011722658817,"No"
170,"Dragonera",64.2137871643105,"Sí"
171,"Dragonera",60.7077169541498,"No"
172,"Dragonera",62.3917582011519,"Sí"
173,"Dragonera",61.7955964775692,"No"
174,"Dragonera",74.7707113940971,"No"
175,"Dragonera",57.551983422363,"Sí"
176,"Dragonera",55.424022397552,"Sí"
177,"Dragonera",62.2267303950265,"No"
178,"Dragonera",63.8628844966588,"No"
179,"Dragonera",64.6191408734611,"No"
180,"Dragonera",59.2498080037334,"No"
181,"Dragonera",55.6200431961729,"Sí"
182,"Dragonera",69.5791110565369,"Sí"
183,"Dragonera",59.9020976722787,"Sí"
184,"Dragonera",56.8069228240798,"No"
185,"Dragonera",60.5823225863534,"Sí"
186,"Dragonera",60.8169446339087,"No"
187,"Dragonera",68.6595217382818,"No"
188,"Dragonera",62.5084237531832,"No"
189,"Dragonera",66.5243227111071,"Sí"
190,"Dragonera",59.0042478969664,"No"
191,"Dragonera",63.2866718574896,"No"
192,"Dragonera",60.051884531055,"No"
193,"Dragonera",62.5675011690414,"Sí"
194,"Dragonera",56.6278198521347,"No"
195,"Dragonera",54.1351908000322,"No"
196,"Dragonera",73.9832803084878,"Sí"
197,"Dragonera",65.6042529420345,"No"
198,"Dragonera",54.4923718302503,"No"
199,"Dragonera",58.3330044999175,"Sí"
200,"Dragonera",54.8871194924161,"No"
